Date,Last trade price,Max,Min,Avg Price,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
12/27/2024,"2,925.00","2,950.00","2,825.00","2,901.18","5,75","6,208","18,010,543","18,010,543"
12/26/2024,"2,790.00","2,799.00","2,650.00","2,743.44","4,63","4,978","13,656,850","13,656,850"
12/25/2024,"2,650.00","2,650.00","2,590.00","2,622.06","3,69","1,410","3,697,100","3,697,100"
12/24/2024,"2,550.00","2,550.00","2,500.00","2,528.84","1,72","1,183","2,991,619","2,991,619"
12/23/2024,"2,500.00","2,500.00","2,469.00","2,486.19","3,32","2,175","5,407,453","5,407,453"
12/20/2024,"2,440.00","2,450.00","2,400.00","2,406.30","0,65","1,295","3,116,162","3,116,162"
12/19/2024,"2,400.00","2,401.00","2,377.00","2,390.83","0,58",960,"2,295,198","2,295,198"
12/18/2024,"2,377.00","2,378.00","2,375.00","2,376.93","2,93",305,"724,97","724,97"
12/17/2024,"2,320.00","2,320.00","2,290.00","2,309.26","0,01",677,"1,563,370","1,563,370"
12/16/2024,"2,300.00","2,340.00","2,300.00","2,309.03","-0,40",440,"1,015,975","1,015,975"
12/13/2024,"2,300.00","2,330.00","2,300.00","2,318.23","2,80",453,"1,050,160","1,050,160"
12/12/2024,"2,276.00","2,276.00","2,212.00","2,255.14","2,04",794,"1,790,583","1,790,583"
12/11/2024,"2,210.00","2,210.00","2,210.00","2,210.00","0,45","1,350","2,983,500","2,983,500"
12/10/2024,"2,200.00","2,200.00","2,200.00","2,200.00","0,24",390,"858,00","858,00"
12/6/2024,"2,200.00","2,279.00","2,150.00","2,194.76","0,28",524,"1,150,053","1,150,053"
12/5/2024,"2,180.00","2,200.00","2,150.00","2,188.70","1,73",270,"590,95","590,95"
12/4/2024,"2,150.00","2,169.00","2,149.00","2,151.55","2,15",265,"570,16","570,16"
12/3/2024,"2,136.00","2,136.00","2,101.00","2,106.19","0,29",104,"219,04","219,04"
12/2/2024,"2,100.00","2,100.00","2,100.00","2,100.00","0,00",276,"579,60","579,60"
11/29/2024,"2,100.00","2,100.00","2,100.00","2,100.00","-0,71",27,"56,70","56,70"
11/28/2024,"2,115.00","2,115.00","2,115.00","2,115.00","-0,67",10,"21,15","21,15"
11/27/2024,"2,130.00","2,130.00","2,129.00","2,129.23","0,12",130,"276,80","276,80"
11/26/2024,"2,120.00","2,132.00","2,120.00","2,126.77","-0,29",288,"612,51","612,51"
11/25/2024,"2,133.00","2,133.00","2,130.00","2,132.85","2,98",402,"857,41","857,41"
11/22/2024,"2,050.00","2,124.00","2,050.00","2,071.14","-0,81",70,"144,98","144,98"
11/21/2024,"2,088.00",,,"2,088.00","0,00",0,"0,00","0,00"
11/20/2024,"2,088.00","2,088.00","2,088.00","2,088.00","0,78",10,"20,88","20,88"
11/19/2024,"2,088.00","2,088.00","1,961.00","2,071.82","-0,79",467,"967,54","967,54"
11/18/2024,"2,088.00","2,089.00","2,088.00","2,088.42","2,94",360,"751,83","751,83"
11/15/2024,"2,029.00","2,029.00","2,028.00","2,028.71","2,60",350,"710,05","710,05"
11/14/2024,"1,960.00","2,000.00","1,960.00","1,977.39","0,89",92,"181,92","181,92"
11/13/2024,"1,960.00","1,960.00","1,960.00","1,960.00","0,00",240,"470,40","470,40"
11/12/2024,"1,960.00","1,960.00","1,960.00","1,960.00","-0,20",1,"1,96","1,96"
11/11/2024,"1,963.00","1,965.00","1,963.00","1,963.83","-0,01",190,"373,13","373,13"
11/8/2024,"1,964.00","1,964.00","1,964.00","1,964.00","-0,27",155,"304,42","304,42"
11/7/2024,"1,967.00","1,975.00","1,967.00","1,969.28","-0,28",642,"1,264,276","1,264,276"
11/6/2024,"1,975.00","1,990.00","1,970.00","1,974.75","0,29",295,"582,55","582,55"
11/5/2024,"1,969.00","1,969.00","1,969.00","1,969.00","-1,40",25,"49,23","49,23"
11/4/2024,"1,997.00","1,997.00","1,997.00","1,997.00","0,00",27,"53,92","53,92"
11/1/2024,"1,997.00","1,997.00","1,997.00","1,997.00","2,02",138,"275,59","275,59"
10/31/2024,"1,960.00","1,960.00","1,950.00","1,957.51","0,99","1,065","2,084,750","2,084,750"
10/30/2024,"1,938.00","1,949.00","1,920.00","1,938.29","0,95",434,"841,22","841,22"
10/29/2024,"1,920.00",,,"1,920.00","0,00",0,"0,00","0,00"
10/28/2024,"1,920.00","1,920.00","1,920.00","1,920.00","0,35",115,"220,80","220,80"
10/25/2024,"1,900.00","1,919.00","1,900.00","1,913.26","-0,35",43,"82,27","82,27"
10/24/2024,"1,920.00",,,"1,920.00","0,00",0,"0,00","0,00"
10/22/2024,"1,920.00","1,920.00","1,920.00","1,920.00","0,00",300,"576,00","576,00"
10/21/2024,"1,920.00","1,920.00","1,920.00","1,920.00","-1,44",65,"124,80","124,80"
10/18/2024,"1,948.00","1,948.00","1,948.00","1,948.00","1,10",5,"9,74","9,74"
10/17/2024,"1,920.00",,,"1,926.71","0,00",0,"0,00","0,00"
10/16/2024,"1,920.00","1,950.00","1,899.00","1,926.71","-1,19",112,"215,79","215,79"
10/15/2024,"1,950.00","1,950.00","1,950.00","1,950.00","0,00",560,"1,092,000","1,092,000"
10/14/2024,"1,950.00",,,"1,950.00","0,00",0,"0,00","0,00"
10/10/2024,"1,950.00",,,"1,950.00","0,00",0,"0,00","0,00"
10/9/2024,"1,950.00","1,950.00","1,950.00","1,950.00","-0,46",95,"185,25","185,25"
10/8/2024,"1,959.00","1,959.00","1,959.00","1,959.00","1,09",10,"19,59","19,59"
10/7/2024,"1,939.00","1,939.00","1,935.00","1,937.92","-1,09",425,"823,62","823,62"
10/4/2024,"1,959.00","1,965.00","1,959.00","1,959.34","1,04",318,"623,07","623,07"
10/3/2024,"1,940.00",,,"1,939.13","0,00",0,"0,00","0,00"
10/2/2024,"1,940.00","1,940.00","1,939.00","1,939.13","-0,99",265,"513,87","513,87"
10/1/2024,"1,939.00",,,"1,958.53","0,00",0,"0,00","0,00"
9/30/2024,"1,939.00","1,964.00","1,939.00","1,958.53","2,52",320,"626,73","626,73"
9/27/2024,"1,910.00","1,911.00","1,910.00","1,910.33","-2,69",150,"286,55","286,55"
9/26/2024,"1,964.00","1,964.00","1,963.00","1,963.15","2,95",59,"115,83","115,83"
9/25/2024,"1,791.00","1,930.00","1,791.00","1,906.83","-4,13",60,"114,41","114,41"
9/24/2024,"1,989.00","1,989.00","1,989.00","1,989.00","0,00",2,"3,98","3,98"
