Date,Last trade price,Max,Min,Avg Price,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
12/27/2024,"135,00",,,"134,91","0,00",0,"0,00","0,00"
12/26/2024,"135,00",,,"134,91","0,00",0,"0,00","0,00"
12/25/2024,"135,00",,,"134,91","0,00",0,"0,00","0,00"
12/24/2024,"135,00","135,00","130,00","134,91","2,98","2,750","371,00","371,00"
12/23/2024,"131,00","131,00","131,00","131,00","-2,30",79,"10,35","10,35"
12/20/2024,"135,00","135,00","129,00","134,08","-0,68","7,229","969,25","969,25"
12/19/2024,"129,00",,,"135,00","0,00",0,"0,00","0,00"
12/18/2024,"129,00",,,"135,00","0,00",0,"0,00","0,00"
12/17/2024,"129,00","138,00","129,00","135,00","0,00","1,740","234,91","234,91"
12/16/2024,"135,00","135,00","135,00","135,00","0,00",100,"13,50","13,50"
12/13/2024,"135,00","135,00","135,00","135,00","0,00",40,"5,40","5,40"
12/12/2024,"135,00","135,00","135,00","135,00","-0,74",100,"13,50","13,50"
12/11/2024,"136,00","136,00","136,00","136,00","0,74",500,"68,00","68,00"
12/10/2024,"135,00","135,00","135,00","135,00","-0,74","2,926","395,01","395,01"
12/6/2024,"136,00","136,00","136,00","136,00","0,74",135,"18,36","18,36"
12/5/2024,"135,00","135,00","135,00","135,00","0,00",526,"71,01","71,01"
12/4/2024,"135,00","135,00","135,00","135,00","0,00","1,320","178,20","178,20"
12/3/2024,"135,00","135,00","135,00","135,00","-0,74",50,"6,75","6,75"
12/2/2024,"136,00",,,"136,00","0,00",0,"0,00","0,00"
11/29/2024,"136,00","136,00","136,00","136,00","-2,86",230,"31,28","31,28"
11/28/2024,"140,00","140,00","140,00","140,00","3,67",300,"42,00","42,00"
11/27/2024,"135,00","136,00","135,00","135,05","-1,06","1,377","185,97","185,97"
11/26/2024,"136,00","137,00","136,00","136,50","-1,60","1,300","177,45","177,45"
11/25/2024,"139,00","139,00","138,00","138,72","2,76","3,513","487,31","487,31"
11/22/2024,"135,00","135,00","135,00","135,00","0,00",135,"18,23","18,23"
11/21/2024,"135,00","135,00","135,00","135,00","0,84","1,290","174,15","174,15"
11/20/2024,"133,00","136,00","133,00","133,87","0,65","2,583","345,79","345,79"
11/19/2024,"133,00","133,00","133,00","133,00","0,00","1,871","248,84","248,84"
11/18/2024,"133,00","133,00","133,00","133,00","-0,94",500,"66,50","66,50"
11/15/2024,"135,00",,,"134,26","0,00",0,"0,00","0,00"
11/14/2024,"135,00",,,"134,26","0,00",0,"0,00","0,00"
