Date,Last trade price,Max,Min,Avg Price,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
12/27/2024,"7,150.00","7,150.00","7,000.00","7,138.89","-0,16",27,"192,75","192,75"
12/26/2024,"7,150.00","7,150.00","7,150.00","7,150.00","0,00",49,"350,35","350,35"
12/25/2024,"7,150.00","7,150.00","7,150.00","7,150.00","0,46",25,"178,75","178,75"
12/24/2024,"7,200.00","7,200.00","7,110.00","7,116.92","0,24",13,"92,52","92,52"
12/23/2024,"7,100.00","7,100.00","7,100.00","7,100.00","-1,39",10,"71,00","71,00"
12/20/2024,"7,200.00",,,"7,200.00","0,00",0,"0,00","0,00"
12/19/2024,"7,200.00","7,200.00","7,200.00","7,200.00","-2,03",47,"338,40","338,40"
12/18/2024,"7,349.00",,,"7,349.00","0,00",0,"0,00","0,00"
12/17/2024,"7,349.00",,,"7,349.00","0,00",0,"0,00","0,00"
12/16/2024,"7,349.00",,,"7,349.00","0,00",0,"0,00","0,00"
12/13/2024,"7,349.00","7,349.00","7,349.00","7,349.00","0,00",5,"36,74","36,74"
12/12/2024,"7,349.00",,,"7,349.00","0,00",0,"0,00","0,00"
12/11/2024,"7,349.00","7,349.00","7,349.00","7,349.00","0,00",25,"183,72","183,72"
12/10/2024,"7,349.00","7,349.00","7,349.00","7,349.00","0,05",39,"286,61","286,61"
12/6/2024,"7,349.00","7,350.00","7,200.00","7,345.18","2,37","1,051","7,719,786","7,719,786"
12/5/2024,"7,200.00","7,200.00","7,150.00","7,175.00","1,06",40,"287,00","287,00"
12/4/2024,"7,100.00",,,"7,100.00","0,00",0,"0,00","0,00"
12/3/2024,"7,100.00",,,"7,100.00","0,00",0,"0,00","0,00"
12/2/2024,"7,100.00","7,100.00","7,100.00","7,100.00","0,00",20,"142,00","142,00"
11/29/2024,"7,100.00",,,"7,100.00","0,00",0,"0,00","0,00"
11/28/2024,"7,100.00","7,100.00","7,100.00","7,100.00","0,00",19,"134,90","134,90"
11/27/2024,"7,100.00","7,100.00","7,100.00","7,100.00","0,00",100,"710,00","710,00"
11/26/2024,"7,100.00",,,"7,100.00","0,00",0,"0,00","0,00"
11/25/2024,"7,100.00","7,100.00","7,100.00","7,100.00","-0,14",10,"71,00","71,00"
11/22/2024,"7,110.00",,,"7,110.00","0,00",0,"0,00","0,00"
11/21/2024,"7,110.00","7,110.00","7,110.00","7,110.00","-0,21",5,"35,55","35,55"
11/20/2024,"7,125.00","7,125.00","7,125.00","7,125.00","-0,35",15,"106,88","106,88"
11/19/2024,"7,150.00","7,150.00","7,150.00","7,150.00","-0,77",15,"107,25","107,25"
11/18/2024,"7,250.00",,,"7,205.66","0,00",0,"0,00","0,00"
11/15/2024,"7,250.00","7,250.00","7,200.00","7,205.66","-0,25",53,"381,90","381,90"
11/14/2024,"7,250.00","7,250.00","7,200.00","7,223.39","0,32",62,"447,85","447,85"
11/13/2024,"7,200.00","7,200.00","7,200.00","7,200.00","2,86",57,"410,40","410,40"
11/12/2024,"7,000.00","7,000.00","7,000.00","7,000.00","-2,78",5,"35,00","35,00"
11/11/2024,"7,200.00",,,"7,200.00","0,00",0,"0,00","0,00"
11/8/2024,"7,200.00",,,"7,200.00","0,00",0,"0,00","0,00"
11/7/2024,"7,200.00",,,"7,200.00","0,00",0,"0,00","0,00"
11/6/2024,"7,200.00",,,"7,200.00","0,00",0,"0,00","0,00"
11/5/2024,"7,200.00","7,200.00","7,200.00","7,200.00","0,88",10,"72,00","72,00"
