Date,Last trade price,Max,Min,Avg Price,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
11/8/2024,"3,300.00",,,"3,300.00","0,00",0,"0,00","0,00"
11/7/2024,"3,300.00",,,"3,300.00","0,00",0,"0,00","0,00"
11/6/2024,"3,300.00",,,"3,300.00","0,00",0,"0,00","0,00"
11/5/2024,"3,300.00",,,"3,300.00","0,00",0,"0,00","0,00"
11/4/2024,"3,300.00",,,"3,300.00","0,00",0,"0,00","0,00"
11/1/2024,"3,300.00",,,"3,300.00","0,00",0,"0,00","0,00"
10/31/2024,"3,300.00","3,300.00","3,300.00","3,300.00","1,51",836,"2,758,800","2,758,800"
10/30/2024,"3,300.00",,,"3,251.03","0,00",0,"0,00","0,00"
10/29/2024,"3,300.00",,,"3,251.03","0,00",0,"0,00","0,00"
10/28/2024,"3,300.00","3,300.00","3,250.00","3,251.03","1,59",242,"786,75","41,300,850"
10/25/2024,"3,200.00",,,"3,200.00","0,00",0,"0,00","0,00"
10/24/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00",150,"480,00","480,00"
10/22/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00",90,"288,00","288,00"
10/21/2024,"3,200.00",,,"3,200.00","0,00",0,"0,00","0,00"
10/18/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00",111,"355,20","355,20"
10/17/2024,"3,200.00",,,"3,200.00","0,00",0,"0,00","0,00"
10/16/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00",504,"1,612,800","1,612,800"
10/15/2024,"3,200.00",,,"3,200.00","0,00",0,"0,00","48,136,760"
10/14/2024,"3,200.00","3,200.00","3,200.00","3,200.00","-1,52",540,"1,728,000","1,728,000"
10/10/2024,"3,250.00","3,250.00","3,220.00","3,249.45","1,52",219,"711,63","29,895,930"
10/9/2024,"3,201.00","3,201.00","3,200.00","3,200.78","0,02",654,"2,093,308","2,093,308"
10/8/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00",156,"499,20","499,20"
10/7/2024,"3,199.00","3,200.00","3,199.00","3,199.87","0,00","1,145","3,663,847","3,663,847"
10/4/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00","9,408","30,105,600","30,105,600"
10/3/2024,"3,200.00",,,"3,200.00","0,00",0,"0,00","0,00"
10/2/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00",352,"1,126,400","1,126,400"
10/1/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00",100,"320,00","320,00"
9/30/2024,"3,220.00",,,"3,200.05","0,00",0,"0,00","0,00"
9/27/2024,"3,220.00",,,"3,200.05","0,00",0,"0,00","0,00"
9/26/2024,"3,220.00",,,"3,200.05","0,00",0,"0,00","0,00"
9/25/2024,"3,220.00",,,"3,200.05","0,00",0,"0,00","0,00"
9/24/2024,"3,220.00",,,"3,200.05","0,00",0,"0,00","0,00"
9/23/2024,"3,220.00","3,220.00","3,200.00","3,200.05","-0,93",432,"1,382,420","1,382,420"
9/20/2024,"3,230.00","3,230.00","3,230.00","3,230.00","-0,57",70,"226,10","226,10"
9/19/2024,"3,250.00","3,250.00","3,200.00","3,248.61","1,49","3,614","11,740,480","16,862,480"
9/18/2024,"3,201.00","3,201.00","3,200.00","3,200.83","0,03",90,"288,07","288,07"
9/17/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00",15,"48,00","48,00"
9/16/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,00","1,167","3,734,400","9,294,752"
9/13/2024,"3,200.00","3,201.00","3,200.00","3,200.05","0,00","1,344","4,300,862","4,300,862"
9/12/2024,"3,200.00","3,200.00","3,199.00","3,199.97","6,12","3,839","12,284,683","12,284,683"
9/11/2024,"3,015.00","3,016.00","3,015.00","3,015.55","0,02",40,"120,62","120,62"
9/10/2024,"3,015.00","3,015.00","3,015.00","3,015.00","-7,55",17,"51,26","51,26"
9/6/2024,"3,250.00",,,"3,261.05","0,00",0,"0,00","0,00"
9/5/2024,"3,250.00",,,"3,261.05","0,00",0,"0,00","0,00"
9/4/2024,"3,250.00",,,"3,261.05","0,00",0,"0,00","0,00"
9/3/2024,"3,250.00",,,"3,261.05","0,00",0,"0,00","3,200,000"
9/2/2024,"3,250.00",,,"3,261.05","0,00",0,"0,00","0,00"
8/30/2024,"3,250.00",,,"3,261.05","0,00",0,"0,00","0,00"
8/29/2024,"3,250.00","3,270.00","3,250.00","3,261.05","0,52",324,"1,056,580","1,056,580"
8/27/2024,"3,275.00","3,298.00","3,199.00","3,244.20","1,30","3,016","9,784,516","9,784,516"
8/26/2024,"3,210.00",,,"3,202.64","0,00",0,"0,00","0,00"
8/23/2024,"3,210.00","3,210.00","3,150.00","3,202.64","0,08","1,849","5,921,677","5,921,677"
8/22/2024,"3,200.00",,,"3,200.00","0,00",0,"0,00","0,00"
8/21/2024,"3,200.00",,,"3,200.00","0,00",0,"0,00","0,00"
8/20/2024,"3,200.00",,,"3,200.00","0,00",0,"0,00","0,00"
8/19/2024,"3,200.00","3,200.00","3,200.00","3,200.00","0,31",51,"163,20","163,20"
8/16/2024,"3,190.00","3,190.00","3,190.00","3,190.00","-4,77",30,"95,70","95,70"
8/15/2024,"3,341.00",,,"3,349.73","0,00",0,"0,00","0,00"
8/14/2024,"3,341.00","3,350.00","3,341.00","3,349.73","-9,76",134,"448,86","448,86"
8/13/2024,"3,700.00",,,"3,712.20","0,00",0,"0,00","0,00"
8/12/2024,"3,700.00",,,"3,712.20","0,00",0,"0,00","0,00"
8/9/2024,"3,700.00",,,"3,712.20","0,00",0,"0,00","0,00"
8/8/2024,"3,700.00","4,000.00","3,699.00","3,712.20","0,35",660,"2,450,052","2,450,052"
8/7/2024,"3,700.00","3,700.00","3,697.00","3,699.12","9,02",89,"329,22","329,22"
8/6/2024,"3,393.00","3,393.00","3,393.00","3,393.00","1,28",65,"220,54","220,54"
8/5/2024,"3,350.00","3,350.00","3,350.00","3,350.00","1,69",4,"13,40","13,40"
8/1/2024,"3,300.00","3,300.00","3,290.00","3,294.26","6,94",47,"154,83","154,83"
7/31/2024,"3,010.00","3,100.00","3,010.00","3,080.43","-0,63",128,"394,30","394,30"
7/30/2024,"3,100.00","3,100.00","3,100.00","3,100.00","0,00",10,"31,00","31,00"
7/29/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/26/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/25/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/24/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/23/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/22/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/19/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/18/2024,"3,100.00","3,100.00","3,100.00","3,100.00","0,00",5,"15,50","15,50"
7/17/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/16/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/15/2024,"3,100.00","3,100.00","3,100.00","3,100.00","0,00",117,"362,70","362,70"
7/12/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/11/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
7/10/2024,"3,100.00","3,100.00","3,100.00","3,100.00","-0,03",35,"108,50","108,50"
7/9/2024,"3,101.00",,,"3,101.00","0,00",0,"0,00","0,00"
7/8/2024,"3,101.00",,,"3,101.00","0,00",0,"0,00","0,00"
7/5/2024,"3,101.00",,,"3,101.00","0,00",0,"0,00","0,00"
7/4/2024,"3,101.00","3,101.00","3,101.00","3,101.00","3,37",9,"27,91","27,91"
7/3/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
7/2/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
7/1/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
6/28/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
6/27/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
6/26/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
6/25/2024,"3,000.00","3,000.00","3,000.00","3,000.00","-8,54",46,"138,00","138,00"
6/24/2024,"3,280.00",,,"3,280.00","0,00",0,"0,00","0,00"
6/20/2024,"3,280.00","3,280.00","3,280.00","3,280.00","0,00",35,"114,80","114,80"
6/19/2024,"3,280.00","3,280.00","3,280.00","3,280.00","1,11",25,"82,00","82,00"
6/18/2024,"3,244.00","3,244.00","3,244.00","3,244.00","2,98","1,292","4,191,248","4,191,248"
6/17/2024,"3,150.00",,,"3,150.00","0,00",0,"0,00","0,00"
6/14/2024,"3,150.00",,,"3,150.00","0,00",0,"0,00","0,00"
6/13/2024,"3,150.00","3,150.00","3,150.00","3,150.00","0,20",44,"138,60","138,60"
6/12/2024,"3,150.00","3,193.00","3,100.00","3,143.67","1,41",45,"141,47","141,47"
6/11/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
6/10/2024,"3,100.00",,,"3,100.00","0,00",0,"0,00","0,00"
6/7/2024,"3,100.00","3,100.00","3,100.00","3,100.00","0,00",10,"31,00","31,00"
6/6/2024,"3,100.00","3,100.00","3,100.00","3,100.00","1,64",100,"310,00","310,00"
6/5/2024,"3,050.00",,,"3,050.00","0,00",0,"0,00","0,00"
6/4/2024,"3,050.00","3,050.00","3,050.00","3,050.00","1,67",50,"152,50","152,50"
6/3/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
5/31/2024,"3,000.00","3,000.00","3,000.00","3,000.00","0,00",25,"75,00","75,00"
5/30/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
5/29/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
5/28/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
5/27/2024,"3,000.00","3,000.00","3,000.00","3,000.00","0,00",50,"150,00","150,00"
5/23/2024,"3,000.00",,,"3,000.00","0,00",0,"0,00","0,00"
