Date,Last trade price,Max,Min,Avg Price,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
11/8/2024,"1,950.00","1,950.00","1,950.00","1,950.00","0,26",175,"341,25","341,25"
11/7/2024,"1,945.00",,,"1,945.00","0,00",0,"0,00","0,00"
11/6/2024,"1,945.00",,,"1,945.00","0,00",0,"0,00","0,00"
11/5/2024,"1,945.00",,,"1,945.00","0,00",0,"0,00","0,00"
11/4/2024,"1,945.00",,,"1,945.00","0,00",0,"0,00","0,00"
11/1/2024,"1,945.00",,,"1,945.00","0,00",0,"0,00","0,00"
10/31/2024,"1,945.00",,,"1,945.00","0,00",0,"0,00","0,00"
10/30/2024,"1,945.00","1,945.00","1,945.00","1,945.00","-0,05",125,"243,12","243,12"
10/29/2024,"1,946.00","1,946.00","1,946.00","1,946.00","0,00",91,"177,09","177,09"
10/28/2024,"1,946.00","1,946.00","1,946.00","1,946.00","-2,99",110,"214,06","214,06"
10/25/2024,"2,006.00",,,"2,006.00","0,00",0,"0,00","0,00"
10/24/2024,"2,006.00",,,"2,006.00","0,00",0,"0,00","0,00"
10/22/2024,"2,006.00",,,"2,006.00","0,00",0,"0,00","0,00"
10/21/2024,"2,006.00",,,"2,006.00","0,00",0,"0,00","0,00"
10/18/2024,"2,006.00","2,006.00","2,006.00","2,006.00","0,00",3,"6,02","6,02"
10/17/2024,"2,006.00","2,006.00","2,006.00","2,006.00","3,53",6,"12,04","12,04"
10/16/2024,"1,900.00","1,946.00","1,900.00","1,937.64","-0,43",11,"21,31","21,31"
10/15/2024,"1,946.00","1,946.00","1,946.00","1,946.00","-2,99",300,"583,80","583,80"
10/14/2024,"2,006.00","2,006.00","2,006.00","2,006.00","8,43",10,"20,06","20,06"
10/10/2024,"1,850.00","1,850.00","1,850.00","1,850.00","-7,41",165,"305,25","305,25"
10/9/2024,"1,998.00","1,998.00","1,998.00","1,998.00","0,00",10,"19,98","19,98"
10/8/2024,"1,998.00","1,998.00","1,998.00","1,998.00","2,46",14,"27,97","27,97"
10/7/2024,"1,950.00",,,"1,950.00","0,00",0,"0,00","0,00"
10/4/2024,"1,950.00","1,950.00","1,950.00","1,950.00","0,10",16,"31,20","31,20"
10/3/2024,"1,920.00",,,"1,947.97","0,00",0,"0,00","0,00"
10/2/2024,"1,920.00",,,"1,947.97","0,00",0,"0,00","0,00"
10/1/2024,"1,920.00",,,"1,947.97","0,00",0,"0,00","0,00"
9/30/2024,"1,920.00",,,"1,947.97","0,00",0,"0,00","0,00"
9/27/2024,"1,920.00",,,"1,947.97","0,00",0,"0,00","0,00"
9/26/2024,"1,920.00",,,"1,947.97","0,00",0,"0,00","0,00"
9/25/2024,"1,920.00","1,972.00","1,920.00","1,947.97","-1,22",760,"1,480,460","1,480,460"
9/24/2024,"1,972.00","1,972.00","1,972.00","1,972.00","6,71",20,"39,44","39,44"
9/23/2024,"1,848.00","1,848.00","1,848.00","1,848.00","2,98",57,"105,34","105,34"
9/20/2024,"1,800.00",,,"1,794.52","0,00",0,"0,00","0,00"
9/19/2024,"1,800.00",,,"1,794.52","0,00",0,"0,00","0,00"
9/18/2024,"1,800.00","1,800.00","1,790.00","1,794.52","3,31",73,"131,00","131,00"
9/17/2024,"1,790.00","1,790.00","1,721.00","1,737.05","-0,46",43,"74,69","74,69"
9/16/2024,"1,741.00",,,"1,745.10","0,00",0,"0,00","0,00"
9/13/2024,"1,741.00","1,780.00","1,731.00","1,745.10","1,46","1,423","2,483,271","2,483,271"
9/12/2024,"1,720.00","1,720.00","1,720.00","1,720.00","0,00",25,"43,00","43,00"
9/11/2024,"1,720.00",,,"1,720.00","0,00",0,"0,00","0,00"
9/10/2024,"1,720.00","1,720.00","1,720.00","1,720.00","-1,21",221,"380,12","380,12"
9/6/2024,"1,741.00",,,"1,741.00","0,00",0,"0,00","0,00"
9/5/2024,"1,741.00","1,741.00","1,741.00","1,741.00","0,00",10,"17,41","17,41"
9/4/2024,"1,741.00",,,"1,741.00","0,00",0,"0,00","0,00"
9/3/2024,"1,741.00",,,"1,741.00","0,00",0,"0,00","0,00"
9/2/2024,"1,741.00",,,"1,741.00","0,00",0,"0,00","0,00"
8/30/2024,"1,741.00","1,741.00","1,741.00","1,741.00","-2,19",206,"358,65","358,65"
8/29/2024,"1,780.00","1,780.00","1,780.00","1,780.00","0,32",100,"178,00","178,00"
8/27/2024,"1,760.00","1,781.00","1,760.00","1,774.32","2,56",88,"156,14","156,14"
8/26/2024,"1,730.00",,,"1,730.00","0,00",0,"0,00","0,00"
8/23/2024,"1,730.00","1,730.00","1,730.00","1,730.00","0,11",154,"266,42","266,42"
8/22/2024,"1,739.00","1,739.00","1,691.00","1,728.13","2,20",53,"91,59","91,59"
8/21/2024,"1,691.00","1,691.00","1,691.00","1,691.00","0,00",349,"590,16","590,16"
8/20/2024,"1,691.00","1,691.00","1,691.00","1,691.00","5,42",11,"18,60","18,60"
8/19/2024,"1,604.00",,,"1,604.00","0,00",0,"0,00","0,00"
8/16/2024,"1,604.00","1,604.00","1,604.00","1,604.00","0,25",31,"49,72","49,72"
8/15/2024,"1,600.00",,,"1,600.00","0,00",0,"0,00","0,00"
8/14/2024,"1,600.00","1,600.00","1,600.00","1,600.00","-2,56",500,"800,00","800,00"
8/13/2024,"1,642.00","1,642.00","1,642.00","1,642.00","-2,96",21,"34,48","34,48"
8/12/2024,"1,692.00","1,692.00","1,692.00","1,692.00","-2,98",14,"23,69","23,69"
8/9/2024,"1,744.00","1,744.00","1,744.00","1,744.00","-0,11",6,"10,46","10,46"
8/8/2024,"1,746.00",,,"1,746.00","0,00",0,"0,00","2,390,274"
8/7/2024,"1,746.00","1,746.00","1,746.00","1,746.00","-3,00",40,"69,84","69,84"
8/6/2024,"1,800.00",,,"1,800.00","0,00",0,"0,00","0,00"
8/5/2024,"1,800.00",,,"1,800.00","0,00",0,"0,00","0,00"
8/1/2024,"1,800.00","1,800.00","1,800.00","1,800.00","-1,80",20,"36,00","36,00"
7/31/2024,"1,833.00","1,833.00","1,833.00","1,833.00","-2,96",110,"201,63","201,63"
7/30/2024,"1,889.00","1,889.00","1,889.00","1,889.00","8,45",10,"18,89","18,89"
7/29/2024,"1,749.00","1,749.00","1,640.00","1,741.88","6,21",153,"266,51","266,51"
7/26/2024,"1,640.00","1,640.00","1,640.00","1,640.00","2,50",10,"16,40","16,40"
7/25/2024,"1,600.00","1,600.00","1,600.00","1,600.00","1,24",75,"120,00","120,00"
7/24/2024,"1,590.00","1,590.00","1,580.00","1,580.38","-1,23",104,"164,36","164,36"
7/23/2024,"1,600.00","1,600.00","1,600.00","1,600.00","0,02",59,"94,40","94,40"
7/22/2024,"1,600.00","1,600.00","1,599.00","1,599.75","-0,01",200,"319,95","319,95"
7/19/2024,"1,600.00","1,600.00","1,599.00","1,599.92","0,00",416,"665,57","665,57"
7/18/2024,"1,600.00","1,600.00","1,600.00","1,600.00","3,23",50,"80,00","80,00"
7/17/2024,"1,550.00","1,550.00","1,550.00","1,550.00","1,71",38,"58,90","58,90"
7/16/2024,"1,524.00",,,"1,524.00","0,00",0,"0,00","2,612,200"
7/15/2024,"1,524.00",,,"1,524.00","0,00",0,"0,00","6,292,960"
7/12/2024,"1,524.00",,,"1,524.00","0,00",0,"0,00","0,00"
7/11/2024,"1,524.00",,,"1,524.00","0,00",0,"0,00","0,00"
7/10/2024,"1,524.00","1,524.00","1,524.00","1,524.00","1,60",30,"45,72","45,72"
7/9/2024,"1,500.00","1,500.00","1,500.00","1,500.00","1,37",50,"75,00","75,00"
